Transaction_id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Description,Fee,Status,Seller Message,Card ID,Customer ID,Invoice ID,Transfer,price_id (metadata),product_id (metadata),product_id,Name,Date (UTC),Tax Code
ch_3OZDAYAKv6LsYLX20xMSoqBq,1/16/2024 13:59,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OZDAXAKv6LsYLX2IsXJ0UHK,cus_PNd0tSQPnnRpHY,in_1OZDAXAKv6LsYLX2uHncWgbm,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OZCnTAKv6LsYLX23TJxh796,1/16/2024 13:35,326.95,0,eur,TRUE,345.52,0,usd,NULL,15.5,Paid,Payment complete.,pm_1OZCnTAKv6LsYLX2E9OYeJd7,cus_PNybEgvYf4HhJI,in_1OZCnXAKv6LsYLX2ccwDalCa,NULL,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd,40375dc9-7834-49eb-9103-745a5ef656cd,College Prep Masterclass,3/29/2020 3:57,txcd_20030000
ch_3OZBrlAKv6LsYLX23iaUuiji,1/16/2024 12:35,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OZBrkAKv6LsYLX26zo527JM,cus_PJo5N9acKRxcAs,in_1OZBrlAKv6LsYLX2a3rFVtnB,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OZBYnAKv6LsYLX215yresC7,1/16/2024 12:16,280.07,0,gbp,TRUE,345.52,0,usd,NULL,15.5,Paid,Payment complete.,pm_1OZBYmAKv6LsYLX2EPzfrZ2d,cus_PJaYPqOdeVXbqs,in_1OZBZBAKv6LsYLX2LEsjomrD,NULL,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd,40375dc9-7834-49eb-9103-745a5ef656cd,College Prep Masterclass,3/29/2020 3:57,txcd_20030000
ch_3OZAiQAKv6LsYLX22nOS0iC3,1/16/2024 11:21,48,0,usd,TRUE,44,0,usd,NULL,1.58,Paid,Payment complete.,pm_1OZAiQAKv6LsYLX26goUhzQT,cus_PNoieenFPjzZJW,in_1OZAiTAKv6LsYLX25scmkUlP,NULL,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,Admission Success Blueprint,12/27/2023 16:46,txcd_20030000
ch_3OZAChAKv6LsYLX21LuxDXS6,1/16/2024 10:49,60.33,0,cad,TRUE,43.56,0,usd,NULL,2.22,Paid,Payment complete.,pm_1OZACgAKv6LsYLX2U3hJarv6,cus_PNYVW5RptJQEfk,in_1OZACkAKv6LsYLX2eZhtDl3P,NULL,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a,fec5f1d1-2101-406f-b730-bc7f739ac62a,SAT & ACT Mastery Program,1/26/2024 2:09,txcd_20030000
ch_3OZ4d7AKv6LsYLX214p7wdDb,1/16/2024 4:52,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OZ4d6AKv6LsYLX2Hws7f2pt,cus_P98LNvobHSNjTu,in_1OZ4d7AKv6LsYLX2IMmJwW7c,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OZ1XUAKv6LsYLX23GXdIN15,1/16/2024 1:34,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OZ1XSAKv6LsYLX2ETOsIFdP,cus_PNn5yO1paycaZl,in_1OZ1XTAKv6LsYLX22cH9fx0R,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYzHAAKv6LsYLX21I3rsply,1/15/2024 23:09,14,0,usd,TRUE,10,0,usd,Subscription update,0.59,Paid,Payment complete.,pm_1O1cUJAKv6LsYLX2QETvWsXt,cus_OpH1a0LNGq42Nw,in_1OYyKCAKv6LsYLX2sqYJGUHl,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYwmJAKv6LsYLX21sTRDqh2,1/15/2024 20:29,48,0,usd,TRUE,44,0,usd,NULL,1.58,Paid,Payment complete.,pm_1OYtkiAKv6LsYLX2ve1Y2y9M,cus_PNemYjsQdOZAiL,in_1OYwmLAKv6LsYLX2Y0qZH2Kh,NULL,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,Admission Success Blueprint,12/27/2023 16:46,txcd_20030000
ch_3OYwgqAKv6LsYLX21VahEPpZ,1/15/2024 20:23,149,0,usd,TRUE,149,0,usd,NULL,4.62,Paid,Payment complete.,pm_1OYwgqAKv6LsYLX2JOWxdSZa,cus_PNi6eSJc9VaISH,in_1OYwgtAKv6LsYLX2Wy2iPhAg,NULL,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e,f8c6a47c-29ca-4be7-ae51-63c374920e4e,Personalized College Roadmap,12/6/2023 16:16,txcd_20030000
ch_3OYwDsAKv6LsYLX23Q1jfUc7,1/15/2024 19:53,60.24,0,cad,TRUE,43.56,0,usd,NULL,2.22,Paid,Payment complete.,pm_1OYwDrAKv6LsYLX2DHqrxfaw,cus_PNhYgQbYB6ka0o,in_1OYwDvAKv6LsYLX2CLRXkA4y,NULL,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a,fec5f1d1-2101-406f-b730-bc7f739ac62a,SAT & ACT Mastery Program,1/26/2024 2:09,txcd_20030000
ch_3OYvHVAKv6LsYLX23bqk1hgA,1/15/2024 18:53,48,0,usd,TRUE,44,0,usd,NULL,1.58,Paid,Payment complete.,pm_1OYvHUAKv6LsYLX2kYSC2EpO,cus_PNckUpKayezrTg,in_1OYvHYAKv6LsYLX2PRoJxW1Q,NULL,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a,fec5f1d1-2101-406f-b730-bc7f739ac62a,SAT & ACT Mastery Program,1/26/2024 2:09,txcd_20030000
ch_3OY2jmAKv6LsYLX23pLZm11u,1/14/2024 10:40,14,0,usd,TRUE,10,0,usd,Subscription update,0.74,Paid,Payment complete.,pm_1O0fw6AKv6LsYLX2mQ1dS7iA,cus_OoIVsL00CfQ2Z4,in_1OY1nVAKv6LsYLX2TrF5ajrA,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYu0OAKv6LsYLX20GCSgzGi,1/15/2024 17:31,60.24,0,cad,TRUE,43.56,0,usd,NULL,2.22,Paid,Payment complete.,pm_1OYu0OAKv6LsYLX22RbYJNtN,cus_PNfJwIdA6BWqDe,in_1OYu0RAKv6LsYLX2p3V5wvlT,NULL,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,4b8c704c-863d-4e25-9bcf-ce9a1b75a391,Admission Success Blueprint,12/27/2023 16:46,txcd_20030000
ch_3OYtkkAKv6LsYLX23I4Gs8CV,1/15/2024 17:15,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OYtkiAKv6LsYLX2ve1Y2y9M,cus_PNemYjsQdOZAiL,in_1OYtkjAKv6LsYLX200OseWiT,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYsblAKv6LsYLX23pgT1VTX,1/15/2024 16:01,27,0,usd,TRUE,15,0,usd,Subscription update,0.74,Paid,Payment complete.,pm_1ONcsuAKv6LsYLX2zbzwVN0n,cus_PC0sxAF2P7sD6e,in_1OYrf6AKv6LsYLX2Nvr68sPF,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYsXeAKv6LsYLX22Zqwobl8,1/15/2024 15:57,48,0,usd,TRUE,44,0,usd,NULL,2.24,Paid,Payment complete.,pm_1OYsXeAKv6LsYLX22X3GFKby,cus_PNdj6KMJF2DFa1,in_1OYsXiAKv6LsYLX232Da7FWW,NULL,d8b64e76-c7a9-4c9d-b904-49d81557c23a,8c46a7cc-09e5-40d8-9584-33c0184298c6,8c46a7cc-09e5-40d8-9584-33c0184298c6,College Essay Coaching,10/9/2023 8:57,txcd_20030000
ch_3OYrD3AKv6LsYLX22LaY5LwF,1/15/2024 14:32,14,0,usd,TRUE,10,0,usd,Subscription update,0.74,Paid,Payment complete.,pm_1O1UPzAKv6LsYLX2nCuLTZV7,cus_Op8fzjbIse2ufk,in_1OYqGZAKv6LsYLX2OF5Sqw5i,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYr4yAKv6LsYLX212Rlhc75,1/15/2024 14:23,41.03,0,eur,TRUE,43.57,0,usd,NULL,2.22,Paid,Payment complete.,pm_1OYqb7AKv6LsYLX2tuqRcJyK,cus_PNblN4H1OrBcdP,in_1OYr51AKv6LsYLX2411OPusm,NULL,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a,fec5f1d1-2101-406f-b730-bc7f739ac62a,SAT & ACT Mastery Program,1/26/2024 2:09,txcd_20030000
ch_3OYqb9AKv6LsYLX20Hgb5RqL,1/15/2024 13:53,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OYqb7AKv6LsYLX2tuqRcJyK,cus_PNblN4H1OrBcdP,in_1OYqb8AKv6LsYLX2n1A3BQnj,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYoa7AKv6LsYLX21jizjYfH,1/15/2024 11:43,48,0,usd,TRUE,44,0,usd,NULL,1.58,Paid,Payment complete.,pm_1OYoa6AKv6LsYLX2YdmCDFHh,cus_PNZdNy1yEC5MXG,in_1OYoaAAKv6LsYLX20quPcR16,NULL,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a,fec5f1d1-2101-406f-b730-bc7f739ac62a,SAT & ACT Mastery Program,1/26/2024 2:09,txcd_20030000
ch_3OYldQAKv6LsYLX21LhibX7W,1/15/2024 8:35,27,0,usd,TRUE,15,0,usd,Subscription update,0.96,Paid,Payment complete.,pm_1ONVudAKv6LsYLX2t3jKWKh0,cus_PAtsr5m9glP0ci,in_1OYkh5AKv6LsYLX2RkMCb4Vq,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYjc5AKv6LsYLX22mZhF4gE,1/15/2024 6:25,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OYjc3AKv6LsYLX2TzTMRFrh,cus_PGVMbknHQ1oZaP,in_1OYjc5AKv6LsYLX2JxKiCjvg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYiEAAKv6LsYLX20eqj9l7g,1/15/2024 4:56,35.2,0,usd,TRUE,35.2,0,usd,NULL,1.32,Paid,Payment complete.,pm_1OYiE9AKv6LsYLX2fjSSDjmo,cus_Ozk4UqcTl0Hhco,in_1OYiEDAKv6LsYLX2nTOfvUBE,NULL,d8b64e76-c7a9-4c9d-b904-49d81557c23a,8c46a7cc-09e5-40d8-9584-33c0184298c6,8c46a7cc-09e5-40d8-9584-33c0184298c6,College Essay Coaching,10/9/2023 8:57,txcd_20030000
ch_3OYiBnAKv6LsYLX23P24HkHS,1/15/2024 4:54,2052.13,0,mxn,TRUE,118.01,0,usd,NULL,5.49,Paid,Payment complete.,pm_1OYiBmAKv6LsYLX2hFQi3jDS,cus_PNT3KzTh0xRd16,in_1OYiBsAKv6LsYLX2Hwt75JzU,NULL,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e,f8c6a47c-29ca-4be7-ae51-63c374920e4e,Personalized College Roadmap,12/6/2023 16:16,txcd_20030000
ch_3OYi7gAKv6LsYLX20soTgjEO,1/15/2024 4:50,14,0,usd,TRUE,10,0,usd,Subscription update,0.59,Paid,Payment complete.,pm_1O1LKEAKv6LsYLX2isdfYceE,cus_OozH98c9bjdZqi,in_1OYhBSAKv6LsYLX20J0VOaB6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYi1GAKv6LsYLX201hNa7Lu,1/15/2024 4:43,279.2,0,usd,TRUE,279.2,0,usd,NULL,8.4,Paid,Payment complete.,pm_1OYi1GAKv6LsYLX2Kouv6CQN,cus_PNSuZSuxVORgnl,in_1OYi1KAKv6LsYLX2wQ9vWZsl,NULL,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd,40375dc9-7834-49eb-9103-745a5ef656cd,College Prep Masterclass,3/29/2020 3:57,txcd_20030000
ch_3OYR0QAKv6LsYLX20xL0QOcL,1/14/2024 10:33,12,0,usd,TRUE,12,0,usd,Subscription creation,0.83,Paid,Payment complete.,pm_1OYR0OAKv6LsYLX22AONogLd,cus_PNBKRuSLkKWY6x,in_1OYR0PAKv6LsYLX2FKYj1Oa3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ch_3OYhzCAKv6LsYLX20V9IvqWy,1/15/2024 4:41,119.2,0,usd,TRUE,119.2,0,usd,NULL,3.76,Paid,Payment complete.,pm_1OYhzBAKv6LsYLX2JPzPuQR7,cus_PM01yhYwecQf8s,in_1OYhzFAKv6LsYLX2zSk87ZS8,NULL,2017cf56-7ca0-48a0-8892-05ad50e746ba,f8c6a47c-29ca-4be7-ae51-63c374920e4e,f8c6a47c-29ca-4be7-ae51-63c374920e4e,Personalized College Roadmap,12/6/2023 16:16,txcd_20030000
